block,variety_ID,cross,plant_ID,treatment,Plant_ID,18_05_26,25_05_26,05_06_26,12_06_26,19_06_26,26_06_26,03_07_26,10_07_26,15_07_26,23_07_26,31_07_26,05_08_26
1,1,B3xB4,1,FI,1_B3xB4_1_FI,,,,,,,,,,,,
1,1,B3xB4,2,FI,1_B3xB4_2_FI,,,,,14,21,23,24,53,61,72,79
1,1,B3xB4,3,FI,1_B3xB4_3_FI,,,,,,,,,,,,
1,1,B3xB4,4,FI,1_B3xB4_4_FI,,,,,14,21,24,27,53,73,75,76
1,1,B3xB4,5,FI,1_B3xB4_5_FI,,,,,,,,,,,,
1,1,B3xB4,6,FI,1_B3xB4_6_FI,,,,,,,,,,,,
1,1,B3xB4,7,FI,1_B3xB4_7_FI,,,,,13,19,21,25,29,52,54,71
1,1,B3xB4,8,FI,1_B3xB4_8_FI,,,,,,,,,,,,
1,1,B3xB4,9,FI,1_B3xB4_9_FI,,,,,,,,,,,,
1,1,B3xB4,10,FI,1_B3xB4_10_FI,9,10,16,21,22,29,68,77,79,79,79,79
1,1,B3xB4,11,FI,1_B3xB4_11_FI,,,,,,,,,,,,
1,1,B3xB4,12,FI,1_B3xB4_12_FI,,,,,,,,,,,,
1,1,B3xB4,13,FI,1_B3xB4_13_FI,,,,,13,21,22,26,26,29,29,51
1,1,B3xB4,14,FI,1_B3xB4_14_FI,,,,,,,,,,,,
1,1,B3xB4,15,FI,1_B3xB4_15_FI,,10,15,19,22,29,66,77,79,79,79,79
1,1,B3xB4,16,FI,1_B3xB4_16_FI,,,,,,,,,,,,
1,1,B3xB4,17,FI,1_B3xB4_17_FI,,,,,,,,,,,,
1,1,B3xB4,18,FI,1_B3xB4_18_FI,,,,,14,21,22,25,61,72,73,73
1,1,B3xB4,19,FI,1_B3xB4_19_FI,,,,,,,,,,,,
1,1,B3xB4,20,FI,1_B3xB4_20_FI,,,,,,,,,,,,
1,1,B3xB4,21,FI,1_B3xB4_21_FI,,,,,,,,,,,,
1,1,B3xB4,22,FI,1_B3xB4_22_FI,,,,,12,19,21,25,27,62,75,76
1,1,B3xB4,23,FI,1_B3xB4_23_FI,,,,,,,,,,,,
1,1,B3xB4,24,FI,1_B3xB4_24_FI,5,7,,,13,19,22,26,55,72,79,79
1,1,B3xB4,25,FI,1_B3xB4_25_FI,,,,,,,,,,,,
1,1,B3xB4,26,FI,1_B3xB4_26_FI,,,,,12,17,21,24,25,29,29,61
1,1,B3xB4,27,FI,1_B3xB4_27_FI,,,,,,,,,,,,
1,1,B3xB4,28,FI,1_B3xB4_28_FI,,10,14,19,23,29,71,77,79,79,79,79
1,2,B4xB5,1,FI,1_B4xB5_1_FI,,9,15,19,21,28,29,71,73,74,75,75
1,2,B4xB5,2,FI,1_B4xB5_2_FI,,,,,13,21,,,,,,
1,2,B4xB5,3,FI,1_B4xB5_3_FI,,,,,,,22,23,24,51,71,71
1,2,B4xB5,4,FI,1_B4xB5_4_FI,9,10,18,21,24,64,72,79,79,79,79,79
1,2,B4xB5,5,FI,1_B4xB5_5_FI,9,11,15,19,22,29,51,61,71,72,75,75
